transaction_id,date,merchant,category,amount,currency,status,department,cost_center,po_number,invoice_number,description,employee,approval_status
TXN-00028,2024-08-05,United Airlines,Travel - Airfare,850,USD,delivered,Operations,CC-001,PO-84330,INV-280944,United Airlines - Travel - Airfare,EMP-1042,Approved
TXN-00029,2025-03-29,Time Warner,Utilities - Internet,60,USD,pending,Finance,CC-005,PO-73172,INV-927286,Time Warner - Utilities - Internet,EMP-1166,Rejected
TXN-00030,2025-02-08,Hilton Hotels,Travel - Lodging,700,USD,invoiced,Sales,CC-003,PO-23543,INV-538702,Hilton Hotels - Travel - Lodging,EMP-1239,Pending
TXN-00031,2024-01-13,Herman Miller,Furniture - Fixed Asset,1500,USD,paid,Sales,CC-001,PO-36679,INV-990945,Herman Miller - Furniture - Fixed Asset,EMP-1137,Pending
TXN-00032,2024-05-19,DoorDash,Meals & Entertainment,100,USD,completed,Sales,CC-002,PO-63779,INV-698129,DoorDash - Meals & Entertainment,EMP-1101,Approved
TXN-00033,2024-10-21,Verizon,Utilities - Telecom,350,USD,delivered,Engineering,CC-002,PO-46740,INV-489552,Verizon - Utilities - Telecom,EMP-1036,Rejected
TXN-00034,2024-02-25,GitHub,Software - Development,231,USD,completed,Marketing,CC-001,PO-11540,INV-397515,GitHub - Software - Development,EMP-1127,Pending
TXN-00035,2024-05-24,FedEx,Shipping & Logistics,100,USD,completed,Sales,CC-001,PO-45609,INV-109085,FedEx - Shipping & Logistics,EMP-1216,Rejected
TXN-00036,2024-09-13,Datadog,Software - Monitoring,1500,USD,pending,Marketing,CC-005,,INV-536207,Datadog - Software - Monitoring,EMP-1043,Approved
TXN-00037,2024-08-30,Deloitte,Professional Services,10000,USD,invoiced,Finance,CC-001,PO-75211,INV-591249,Deloitte - Professional Services,EMP-1121,Approved
TXN-00038,2024-04-11,Southwest Airlines,Travel - Airfare,150,USD,delivered,HR,CC-004,PO-17853,INV-805915,Southwest Airlines - Travel - Airfare,EMP-1246,Rejected
TXN-00039,2024-11-24,Dell,Hardware - Equipment,2500,USD,pending,Finance,CC-001,,INV-571362,Dell - Hardware - Equipment,EMP-1087,Pending
TXN-00040,2024-01-24,Amazon,Hardware - Equipment,299,USD,completed,Engineering,CC-002,PO-92086,INV-759279,Amazon - Hardware - Equipment,EMP-1233,Pending
TXN-00041,2024-03-20,HubSpot,Marketing - Software,200,USD,pending,Engineering,CC-003,PO-86526,INV-737056,HubSpot - Marketing - Software,EMP-1132,Pending
TXN-00042,2024-07-31,Comcast,Utilities - Internet,70,USD,pending,Engineering,CC-003,PO-53781,INV-916716,Comcast - Utilities - Internet,EMP-1014,Pending
TXN-00043,2025-01-01,Verizon,Utilities - Telecom,350,USD,pending,Sales,CC-002,PO-47896,INV-421460,Verizon - Utilities - Telecom,EMP-1027,Rejected
TXN-00044,2025-02-06,Southwest Airlines,Travel - Airfare,150,USD,invoiced,Finance,CC-005,PO-54214,INV-596939,Southwest Airlines - Travel - Airfare,EMP-1015,Approved
TXN-00045,2024-05-24,Delta Airlines,Travel - Airfare,900,USD,completed,Engineering,CC-001,PO-75773,INV-311545,Delta Airlines - Travel - Airfare,EMP-1024,Pending
TXN-00046,2024-12-24,Google Ads,Marketing - Digital,500,USD,invoiced,HR,CC-005,PO-21535,INV-770129,Google Ads - Marketing - Digital,EMP-1091,Rejected
TXN-00047,2024-12-09,Time Warner,Utilities - Internet,60,USD,delivered,Finance,CC-001,PO-31014,INV-918159,Time Warner - Utilities - Internet,EMP-1138,Rejected
TXN-00048,2024-01-24,McKinsey,Professional Services,60000,USD,paid,HR,CC-005,PO-13240,INV-763417,McKinsey - Professional Services,EMP-1119,Rejected
TXN-00049,2024-04-08,Starbucks,Meals & Entertainment,15,USD,completed,Marketing,CC-002,PO-11940,INV-104680,Starbucks - Meals & Entertainment,EMP-1232,Pending
TXN-00050,2024-03-18,Facebook Ads,Marketing - Digital,4000,USD,delivered,Marketing,CC-004,PO-74610,INV-500658,Facebook Ads - Marketing - Digital,EMP-1167,Rejected
TXN-00051,2024-12-22,UPS,Shipping & Logistics,50,USD,delivered,Operations,CC-005,PO-62921,INV-540340,UPS - Shipping & Logistics,EMP-1017,Approved
TXN-00052,2024-05-21,Herman Miller,Furniture - Fixed Asset,1200,USD,completed,Marketing,CC-003,PO-64216,INV-991893,Herman Miller - Furniture - Fixed Asset,EMP-1140,Approved
TXN-00053,2025-02-23,Apple,Hardware - Equipment,799,USD,invoiced,Marketing,CC-003,PO-70998,INV-734747,Apple - Hardware - Equipment,EMP-1182,Pending
TXN-00054,2024-02-27,IKEA,Furniture - Fixed Asset,1200,USD,paid,HR,CC-002,PO-20684,INV-564399,IKEA - Furniture - Fixed Asset,EMP-1103,Approved
TXN-00055,2025-01-30,Delta Airlines,Travel - Airfare,280,USD,paid,Sales,CC-004,,INV-500912,Delta Airlines - Travel - Airfare,EMP-1131,Pending
TXN-00056,2024-09-12,AWS,Software - Cloud,2341,USD,pending,Finance,CC-003,PO-16680,INV-675143,AWS - Software - Cloud,EMP-1192,Pending
TXN-00057,2024-05-26,LinkedIn Ads,Marketing - Digital,1000,USD,paid,HR,CC-004,PO-52495,INV-171357,LinkedIn Ads - Marketing - Digital,EMP-1181,Pending
TXN-00058,2024-05-17,Southwest Airlines,Travel - Airfare,650,USD,invoiced,Operations,CC-003,PO-66253,INV-347820,Southwest Airlines - Travel - Airfare,EMP-1072,Pending
TXN-00059,2024-06-12,Staples,Office Supplies,150,USD,completed,Marketing,CC-002,PO-14442,INV-494379,Staples - Office Supplies,EMP-1033,Approved
TXN-00060,2025-02-15,Slack,Software - SaaS,299,USD,invoiced,Operations,CC-003,PO-21186,INV-459671,Slack - Software - SaaS,EMP-1176,Pending
TXN-00061,2024-03-06,Steelcase,Furniture - Fixed Asset,1000,USD,delivered,Finance,CC-002,PO-72617,INV-360989,Steelcase - Furniture - Fixed Asset,EMP-1164,Rejected
TXN-00062,2024-10-28,United Airlines,Travel - Airfare,850,USD,invoiced,Operations,CC-002,PO-91024,INV-340999,United Airlines - Travel - Airfare,EMP-1166,Approved
TXN-00063,2025-03-27,IKEA,Furniture - Fixed Asset,300,USD,paid,HR,CC-005,PO-96208,INV-572275,IKEA - Furniture - Fixed Asset,EMP-1152,Pending
TXN-00064,2024-03-08,Google Cloud,Software - Cloud,950,USD,pending,Finance,CC-004,PO-19301,INV-137706,Google Cloud - Software - Cloud,EMP-1103,Pending
TXN-00065,2024-08-18,Hilton Hotels,Travel - Lodging,700,USD,completed,Operations,CC-001,PO-15673,INV-300169,Hilton Hotels - Travel - Lodging,EMP-1241,Approved
TXN-00066,2024-03-31,Dell,Hardware - Equipment,500,USD,invoiced,Operations,CC-001,PO-86426,INV-689763,Dell - Hardware - Equipment,EMP-1024,Approved
TXN-00067,2024-09-09,Deloitte,Professional Services,10000,USD,delivered,Finance,CC-004,PO-78373,INV-675230,Deloitte - Professional Services,EMP-1075,Approved
TXN-00068,2025-01-22,Verizon,Utilities - Telecom,100,USD,completed,HR,CC-004,PO-28660,INV-962582,Verizon - Utilities - Telecom,EMP-1038,Rejected
TXN-00069,2025-01-20,Airbnb,Travel - Lodging,80,USD,invoiced,Operations,CC-005,PO-32503,INV-133260,Airbnb - Travel - Lodging,EMP-1003,Approved
TXN-00070,2024-03-11,Steelcase,Furniture - Fixed Asset,2500,USD,pending,Engineering,CC-003,PO-56723,INV-655759,Steelcase - Furniture - Fixed Asset,EMP-1174,Approved
TXN-00071,2024-10-04,Xero,Accounting Software,99,USD,completed,Finance,CC-003,PO-84105,INV-986320,Xero - Accounting Software,EMP-1172,Approved
TXN-00072,2024-09-16,Google Cloud,Software - Cloud,950,USD,paid,Operations,CC-005,PO-38240,INV-455503,Google Cloud - Software - Cloud,EMP-1035,Rejected
TXN-00073,2024-11-21,United Airlines,Travel - Airfare,250,USD,pending,Engineering,CC-001,PO-57227,INV-255879,United Airlines - Travel - Airfare,EMP-1048,Rejected
TXN-00074,2024-07-11,American Airlines,Travel - Airfare,300,USD,delivered,Operations,CC-002,PO-78809,INV-144683,American Airlines - Travel - Airfare,EMP-1078,Approved
TXN-00075,2024-01-04,Restaurants.com,Meals & Entertainment,80,USD,invoiced,Sales,CC-003,PO-33228,INV-731006,Restaurants.com - Meals & Entertainment,EMP-1221,Rejected
TXN-00076,2024-10-19,Staples,Office Supplies,150,USD,paid,Marketing,CC-002,PO-34086,INV-588577,Staples - Office Supplies,EMP-1149,Rejected
TXN-00077,2025-03-12,Google Ads,Marketing - Digital,5000,USD,invoiced,Finance,CC-001,PO-49277,INV-601477,Google Ads - Marketing - Digital,EMP-1046,Rejected
TXN-00078,2025-01-06,AWS,Software - Cloud,2341,USD,paid,Sales,CC-001,PO-62371,INV-421222,AWS - Software - Cloud,EMP-1170,Approved
TXN-00079,2025-03-03,LinkedIn Ads,Marketing - Digital,2500,USD,paid,Finance,CC-005,,INV-811461,LinkedIn Ads - Marketing - Digital,EMP-1130,Approved
TXN-00080,2024-12-09,GitHub,Software - Development,500,USD,paid,Operations,CC-004,PO-92950,INV-426347,GitHub - Software - Development,EMP-1209,Pending
TXN-00081,2024-11-09,QuickBooks,Accounting Software,120,USD,pending,Engineering,CC-001,PO-81270,INV-352073,QuickBooks - Accounting Software,EMP-1227,Rejected
TXN-00082,2024-02-28,Deloitte,Professional Services,25000,USD,pending,Sales,CC-002,PO-13462,INV-126266,Deloitte - Professional Services,EMP-1082,Rejected
TXN-00083,2024-02-03,Zoom,Software - SaaS,599,USD,completed,Sales,CC-004,PO-80132,INV-294524,Zoom - Software - SaaS,EMP-1162,Approved
TXN-00084,2024-05-03,Staples,Office Supplies,50,USD,invoiced,Marketing,CC-001,PO-66154,INV-463477,Staples - Office Supplies,EMP-1133,Rejected
TXN-00085,2024-09-29,Lyft,Travel - Ground,12,USD,invoiced,Finance,CC-002,PO-41984,INV-794081,Lyft - Travel - Ground,EMP-1180,Approved
TXN-00086,2024-07-28,Restaurants.com,Meals & Entertainment,150,USD,pending,Operations,CC-005,PO-74966,INV-183029,Restaurants.com - Meals & Entertainment,EMP-1187,Approved
TXN-00087,2025-02-06,Uber,Travel - Ground,15,USD,paid,Engineering,CC-004,PO-51489,INV-778932,Uber - Travel - Ground,EMP-1076,Pending
TXN-00088,2024-08-29,McKinsey,Professional Services,6000,USD,paid,Engineering,CC-001,PO-99591,INV-512153,McKinsey - Professional Services,EMP-1184,Rejected
TXN-00089,2025-02-09,Airbnb,Travel - Lodging,150,USD,paid,Marketing,CC-001,PO-77112,INV-609735,Airbnb - Travel - Lodging,EMP-1212,Approved
TXN-00090,2024-11-26,Hilton Hotels,Travel - Lodging,400,USD,completed,Engineering,CC-001,PO-68087,INV-557387,Hilton Hotels - Travel - Lodging,EMP-1115,Pending
TXN-00091,2024-09-18,Restaurants.com,Meals & Entertainment,150,USD,pending,Finance,CC-004,PO-39053,INV-278391,Restaurants.com - Meals & Entertainment,EMP-1064,Approved
TXN-00092,2024-08-31,QuickBooks,Accounting Software,120,USD,invoiced,Sales,CC-005,PO-14215,INV-405602,QuickBooks - Accounting Software,EMP-1241,Approved
TXN-00093,2024-09-14,Twilio,Software - Communications,50,USD,delivered,Finance,CC-005,,INV-475019,Twilio - Software - Communications,EMP-1193,Approved
TXN-00094,2024-02-18,Google Ads,Marketing - Digital,5000,USD,paid,Engineering,CC-003,PO-25346,INV-582211,Google Ads - Marketing - Digital,EMP-1247,Rejected
TXN-00095,2024-12-14,datadog,Software - Monitoring,1500,USD,completed,Operations,CC-005,PO-38652,INV-638997,datadog - Software - Monitoring,EMP-1041,Approved
TXN-00096,2024-12-21,United Airlines,Travel - Airfare,450,USD,paid,Operations,CC-005,,INV-168511,United Airlines - Travel - Airfare,EMP-1218,Pending
TXN-00097,2024-02-21,DHL,Shipping & Logistics,60,USD,invoiced,Sales,CC-004,PO-10409,INV-625612,DHL - Shipping & Logistics,EMP-1218,Rejected
TXN-00098,2025-03-21,HubSpot,Marketing - Software,50,USD,invoiced,HR,CC-003,PO-73764,INV-626492,HubSpot - Marketing - Software,EMP-1167,Pending
TXN-00099,2024-09-18,Office Depot,Office Supplies,200,USD,paid,Marketing,CC-005,PO-68238,INV-137616,Office Depot - Office Supplies,EMP-1056,Approved
TXN-00100,2025-03-06,Delta Airlines,Travel - Airfare,900,USD,paid,Operations,CC-001,PO-21420,INV-969239,Delta Airlines - Travel - Airfare,EMP-1199,Approved
TXN-00101,2024-12-05,Microsoft Azure,Software - Cloud,1500,USD,invoiced,Operations,CC-001,PO-65052,INV-134408,Microsoft Azure - Software - Cloud,EMP-1125,Approved
TXN-00102,2025-03-09,Lyft,Travel - Ground,60,USD,paid,Operations,CC-003,PO-22796,INV-840025,Lyft - Travel - Ground,EMP-1157,Rejected
TXN-00103,2024-07-30,Google Ads,Marketing - Digital,500,USD,delivered,Engineering,CC-003,PO-32778,INV-814286,Google Ads - Marketing - Digital,EMP-1162,Approved
TXN-00104,2024-06-29,Marriott Hotels,Travel - Lodging,800,USD,delivered,Finance,CC-002,PO-18252,INV-477989,Marriott Hotels - Travel - Lodging,EMP-1208,Approved
TXN-00105,2025-01-17,Stripe,Software - Payments,2500,USD,invoiced,Operations,CC-002,PO-55633,INV-884109,Stripe - Software - Payments,EMP-1212,Approved
TXN-00106,2024-09-01,Time Warner,Utilities - Internet,180,USD,delivered,HR,CC-003,PO-57815,INV-298466,Time Warner - Utilities - Internet,EMP-1017,Approved
TXN-00107,2024-08-03,QuickBooks,Accounting Software,300,USD,completed,HR,CC-004,PO-88441,INV-693262,QuickBooks - Accounting Software,EMP-1187,Approved
TXN-00108,2024-02-25,Amazon Business,Office Supplies,250,USD,delivered,Finance,CC-003,PO-40836,INV-819091,Amazon Business - Office Supplies,EMP-1245,Rejected
TXN-00109,2024-08-22,Southwest Airlines,Travel - Airfare,650,USD,delivered,Finance,CC-004,PO-31097,INV-169521,Southwest Airlines - Travel - Airfare,EMP-1119,Pending
TXN-00110,2024-08-11,Dell,Hardware - Equipment,1200,USD,paid,Finance,CC-001,PO-48385,INV-622356,Dell - Hardware - Equipment,EMP-1196,Approved
TXN-00111,2024-12-16,UberEats,Meals & Entertainment,100,USD,delivered,Marketing,CC-005,PO-37647,INV-425146,UberEats - Meals & Entertainment,EMP-1195,Rejected
TXN-00112,2024-07-12,HubSpot,Marketing - Software,50,USD,completed,Marketing,CC-003,PO-49753,INV-670079,HubSpot - Marketing - Software,EMP-1180,Rejected
TXN-00113,2025-02-28,DoorDash,Meals & Entertainment,50,USD,paid,Operations,CC-001,PO-67216,INV-379275,DoorDash - Meals & Entertainment,EMP-1154,Pending
TXN-00114,2024-02-09,Microsoft Azure,Software - Cloud,300,USD,paid,Operations,CC-004,PO-33215,INV-786201,Microsoft Azure - Software - Cloud,EMP-1145,Approved
TXN-00115,2024-02-01,Starbucks,Meals & Entertainment,5,USD,invoiced,Finance,CC-001,PO-82511,INV-344952,Starbucks - Meals & Entertainment,EMP-1077,Approved
TXN-00116,2024-05-26,Restaurants.com,Meals & Entertainment,150,USD,pending,Engineering,CC-002,PO-60281,INV-784173,Restaurants.com - Meals & Entertainment,EMP-1075,Pending
TXN-00117,2025-03-28,Herman Miller,Furniture - Fixed Asset,3000,USD,paid,HR,CC-001,PO-21582,INV-135763,Herman Miller - Furniture - Fixed Asset,EMP-1041,Rejected
TXN-00118,2024-12-16,Dell,Hardware - Equipment,500,USD,invoiced,Marketing,CC-005,PO-48785,INV-445094,Dell - Hardware - Equipment,EMP-1242,Pending
TXN-00119,2024-07-24,GitHub,Software - Development,231,USD,completed,Operations,CC-005,,INV-589486,GitHub - Software - Development,EMP-1129,Pending
TXN-00120,2024-11-27,American Airlines,Travel - Airfare,1500,USD,completed,HR,CC-004,PO-96797,INV-654536,American Airlines - Travel - Airfare,EMP-1122,Approved
TXN-00121,2024-11-28,McKinsey,Professional Services,6000,USD,invoiced,Sales,CC-005,PO-19846,INV-633720,McKinsey - Professional Services,EMP-1230,Approved
TXN-00122,2024-07-18,QuickBooks,Accounting Software,600,USD,delivered,Finance,CC-004,PO-47844,INV-958707,QuickBooks - Accounting Software,EMP-1056,Rejected
TXN-00123,2025-03-11,Marriott Hotels,Travel - Lodging,800,USD,pending,Marketing,CC-003,,INV-979980,Marriott Hotels - Travel - Lodging,EMP-1060,Pending
TXN-00124,2024-05-22,American Airlines,Travel - Airfare,950,USD,paid,Engineering,CC-001,PO-78406,INV-921115,American Airlines - Travel - Airfare,EMP-1148,Approved
TXN-00125,2024-08-26,LinkedIn Ads,Marketing - Digital,5000,USD,delivered,Marketing,CC-005,PO-43604,INV-190937,LinkedIn Ads - Marketing - Digital,EMP-1072,Approved
TXN-00126,2024-08-28,American Airlines,Travel - Airfare,550,USD,paid,Operations,CC-001,PO-28512,INV-839958,American Airlines - Travel - Airfare,EMP-1179,Rejected
TXN-00127,2025-02-20,Starbucks,Meals & Entertainment,15,USD,invoiced,Engineering,CC-001,PO-70534,INV-102143,Starbucks - Meals & Entertainment,EMP-1117,Pending
TXN-00128,2024-04-06,Grubhub,Meals & Entertainment,50,USD,delivered,HR,CC-001,PO-13242,INV-968306,Grubhub - Meals & Entertainment,EMP-1063,Approved
TXN-00129,2024-07-09,Slack,Software - SaaS,125,USD,paid,Sales,CC-004,PO-94998,INV-701647,Slack - Software - SaaS,EMP-1123,Rejected
TXN-00130,2024-08-22,Staples,Office Supplies,500,USD,invoiced,Engineering,CC-002,PO-79196,INV-340936,Staples - Office Supplies,EMP-1212,Rejected
TXN-00131,2024-01-20,Airbnb,Travel - Lodging,300,USD,completed,Marketing,CC-001,PO-14039,INV-316958,Airbnb - Travel - Lodging,EMP-1247,Rejected
TXN-00132,2024-07-20,Starbucks,Meals & Entertainment,5,USD,pending,HR,CC-005,PO-17455,INV-818182,Starbucks - Meals & Entertainment,EMP-1100,Rejected
TXN-00133,2024-04-24,DoorDash,Meals & Entertainment,50,USD,paid,Sales,CC-001,PO-46514,INV-656479,DoorDash - Meals & Entertainment,EMP-1070,Approved
TXN-00134,2025-03-01,GitHub,Software - Development,500,USD,pending,Finance,CC-002,PO-18864,INV-876337,GitHub - Software - Development,EMP-1108,Rejected
TXN-00135,2024-10-12,Deloitte,Professional Services,50000,USD,paid,Marketing,CC-003,PO-41659,INV-748540,Deloitte - Professional Services,EMP-1212,Rejected
TXN-00136,2024-05-19,Grubhub,Meals & Entertainment,180,USD,delivered,Operations,CC-005,PO-67666,INV-978154,Grubhub - Meals & Entertainment,EMP-1111,Approved
TXN-00137,2024-05-31,FedEx,Shipping & Logistics,45,USD,delivered,Finance,CC-002,PO-19506,INV-938980,FedEx - Shipping & Logistics,EMP-1197,Pending
TXN-00138,2024-10-09,Google Cloud,Software - Cloud,1850,USD,completed,Marketing,CC-001,PO-51409,INV-226103,Google Cloud - Software - Cloud,EMP-1092,Approved
TXN-00139,2024-08-02,Accenture,Professional Services,7000,USD,pending,Sales,CC-005,PO-29752,INV-180456,Accenture - Professional Services,EMP-1232,Pending
TXN-00140,2025-02-25,IKEA,Furniture - Fixed Asset,100,USD,completed,Sales,CC-001,PO-17168,INV-241748,IKEA - Furniture - Fixed Asset,EMP-1190,Approved
TXN-00141,2024-11-06,AWS,Software - Cloud,2341,USD,pending,HR,CC-002,PO-79182,INV-249574,AWS - Software - Cloud,EMP-1143,Rejected
TXN-00142,2024-07-21,LinkedIn Ads,Marketing - Digital,2500,USD,completed,Sales,CC-001,PO-72650,INV-767085,LinkedIn Ads - Marketing - Digital,EMP-1054,Rejected
TXN-00143,2024-06-19,Zoom,Software - SaaS,299,USD,invoiced,HR,CC-005,PO-24535,INV-627361,Zoom - Software - SaaS,EMP-1065,Rejected
TXN-00144,2024-04-12,FedEx,Shipping & Logistics,300,USD,invoiced,Finance,CC-002,PO-63354,INV-765284,FedEx - Shipping & Logistics,EMP-1099,Rejected
TXN-00145,2024-04-03,Accenture Inc,Professional Services,3000,USD,invoiced,Finance,CC-001,,INV-667051,Accenture Inc - Professional Services,EMP-1036,Pending
TXN-00146,2024-09-26,Restaurants.com,Meals & Entertainment,80,USD,delivered,Sales,CC-003,PO-27121,INV-260465,Restaurants.com - Meals & Entertainment,EMP-1100,Approved
TXN-00147,2024-06-08,Facebook Ads,Marketing - Digital,4000,USD,invoiced,Operations,CC-002,PO-97107,INV-807234,Facebook Ads - Marketing - Digital,EMP-1053,Rejected
TXN-00148,2024-02-22,Steelcase,Furniture - Fixed Asset,2500,USD,completed,Marketing,CC-002,PO-12026,INV-425680,Steelcase - Furniture - Fixed Asset,EMP-1209,Approved
TXN-00149,2024-08-27,Slack,Software - SaaS,299,USD,pending,Engineering,CC-002,PO-82321,INV-165188,Slack - Software - SaaS,EMP-1103,Approved
TXN-00150,2024-12-30,Southwest Airlines,Travel - Airfare,1000,USD,pending,Marketing,CC-003,PO-98282,INV-370906,Southwest Airlines - Travel - Airfare,EMP-1161,Approved
TXN-00151,2024-06-12,Hilton Hotels Inc,Travel - Lodging,220,USD,completed,Sales,CC-003,PO-50990,INV-408486,Hilton Hotels Inc - Travel - Lodging,EMP-1001,Approved
TXN-00152,2024-01-21,Lenovo,Hardware - Equipment,400,USD,invoiced,Engineering,CC-001,PO-58738,INV-169103,Lenovo - Hardware - Equipment,EMP-1022,Rejected
TXN-00153,2024-03-23,HubSpot,Marketing - Software,1200,USD,paid,HR,CC-003,PO-14375,INV-234516,HubSpot - Marketing - Software,EMP-1092,Rejected
TXN-00154,2024-08-30,Airbnb,Travel - Lodging,600,USD,paid,Finance,CC-002,PO-88004,INV-352526,Airbnb - Travel - Lodging,EMP-1082,Rejected
TXN-00155,2024-07-11,LinkedIn Ads,Marketing - Digital,1000,USD,paid,Engineering,CC-001,PO-35360,INV-775875,LinkedIn Ads - Marketing - Digital,EMP-1068,Rejected
TXN-00156,2024-08-30,DHL,Shipping & Logistics,30,USD,invoiced,Operations,CC-004,PO-24465,INV-193281,DHL - Shipping & Logistics,EMP-1033,Rejected
TXN-00157,2024-07-25,LinkedIn Ads,Marketing - Digital,5000,USD,invoiced,Marketing,CC-005,PO-44997,INV-108288,LinkedIn Ads - Marketing - Digital,EMP-1030,Rejected
TXN-00158,2024-08-13,Airbnb,Travel - Lodging,150,USD,pending,Finance,CC-002,PO-23510,INV-848100,Airbnb - Travel - Lodging,EMP-1175,Approved
TXN-00159,2024-10-14,Best Buy,Hardware - Equipment,100,USD,paid,HR,CC-004,PO-10486,INV-522591,Best Buy - Hardware - Equipment,EMP-1138,Pending
TXN-00160,2024-02-16,Zoom,Software - SaaS,299,USD,completed,Engineering,CC-001,PO-64174,INV-200235,Zoom - Software - SaaS,EMP-1133,Rejected
TXN-00161,2025-03-24,LawDepot Inc,Legal Services,1000,USD,paid,Operations,CC-005,PO-95966,INV-670951,LawDepot Inc - Legal Services,EMP-1146,Rejected
TXN-00162,2024-12-06,QuickBooks,Accounting Software,600,USD,paid,Engineering,CC-004,PO-46144,INV-946363,QuickBooks - Accounting Software,EMP-1116,Pending
TXN-00163,2025-03-06,Salesforce,Software - SaaS,1200,USD,delivered,HR,CC-002,,INV-310237,Salesforce - Software - SaaS,EMP-1023,Pending
